Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-21,9.818,5.424,2.400,7.172,8.700,9.800,11.000,4.700,5.600,6.100,6.725,7.154,7.579,0.900,2.400,5.000,2.643,88.235,11.765,0.000,0.000,5.172,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-21T12:08:17+00:00
2026-07-22,10.543,3.735,0.000,6.677,9.700,10.400,11.600,2.500,3.900,4.800,6.017,6.675,7.421,0.000,0.000,0.600,0.149,0.000,0.000,0.000,0.000,4.677,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-21T12:08:17+00:00
2026-07-23,12.531,3.457,0.000,7.552,11.400,12.400,13.600,2.200,3.200,5.200,6.217,7.521,9.000,0.000,0.000,0.400,0.094,0.000,0.000,0.000,0.000,5.552,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-21T12:08:17+00:00
2026-07-24,13.722,6.635,7.200,9.681,10.700,14.000,15.600,5.200,6.600,7.900,8.742,9.737,10.546,3.000,7.200,10.200,6.867,100.000,64.706,11.765,0.000,7.681,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-21T12:08:17+00:00
2026-07-25,14.212,5.388,0.000,9.289,12.500,14.000,16.400,3.400,5.100,7.600,7.896,9.158,10.925,0.000,0.000,1.500,0.598,15.686,1.961,0.000,0.000,7.289,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-21T12:08:17+00:00
2026-07-26,16.410,7.884,0.200,11.611,14.800,16.800,18.000,6.100,8.200,9.200,10.388,11.683,13.117,0.000,0.200,2.100,0.563,19.608,0.000,0.000,0.000,9.611,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-21T12:08:17+00:00
2026-07-27,18.259,9.547,0.000,13.036,15.500,18.600,20.300,7.800,9.700,10.800,11.537,13.158,14.225,0.000,0.000,2.600,0.678,19.608,3.922,0.000,0.000,11.036,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-21T12:08:17+00:00
