Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-20,11.398,3.378,0.200,6.910,10.700,11.300,12.300,2.800,3.200,4.200,6.400,6.792,7.538,0.000,0.200,0.700,0.292,5.882,0.000,0.000,0.000,4.910,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-20T12:30:47+00:00
2026-07-21,10.563,5.494,1.200,7.461,9.000,10.400,12.400,4.600,5.800,6.300,6.754,7.487,8.042,0.000,1.200,4.800,2.014,56.863,9.804,0.000,0.000,5.461,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-20T12:30:47+00:00
2026-07-22,10.045,4.694,0.100,7.063,8.500,10.000,11.400,2.600,5.100,6.400,5.967,7.150,8.058,0.000,0.100,2.600,0.837,21.569,3.922,0.000,0.000,5.063,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-20T12:30:47+00:00
2026-07-23,12.620,4.543,0.000,8.136,10.400,12.700,14.200,1.900,4.900,6.300,6.462,8.479,9.412,0.000,0.000,0.200,0.067,1.961,0.000,0.000,0.000,6.136,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-20T12:30:47+00:00
2026-07-24,12.106,7.431,6.300,9.317,9.800,12.000,15.300,6.200,7.300,8.800,8.083,9.208,10.529,2.700,6.300,11.100,6.812,100.000,72.549,17.647,0.000,7.317,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-20T12:30:47+00:00
2026-07-25,14.573,6.361,0.000,9.845,12.500,14.500,16.900,4.300,6.300,8.200,8.613,9.908,11.108,0.000,0.000,1.800,0.463,17.647,1.961,0.000,0.000,7.845,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-20T12:30:47+00:00
2026-07-26,16.914,8.343,0.000,11.938,14.600,17.200,18.800,6.900,8.600,9.700,10.767,12.075,13.263,0.000,0.000,2.000,0.522,17.647,0.000,0.000,0.000,9.938,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-20T12:30:47+00:00
